query_robot,database_robot,query_keyframe_id,valid_overlap_query,positive_count,nearest_positive_distance_m,first_positive_rank,rank1_database_keyframe_id,rank1_sc_score,rank1_gt_distance_m,rank1_best_shift,rank1_is_positive,best_positive_sc_score,retrieval_time_ms,stationary_or_near_stationary,within_5m_of_initial,query_gt_yaw_deg,nearest_positive_database_keyframe_id,nearest_positive_yaw_deg,heading_difference_deg,rank1_false_yaw_deg,sc_score_margin,best_positive_database_keyframe_id
robot1,to,811,True,13,0.2897276010294785,16,1481,0.5325374007225037,229.7687936818709,28,False,0.5160703063011169,41.41175700351596,False,False,179.41709443746458,1121,-0.842330652010907,179.74057491052451,87.49164759180944,0.01646709442138672,1120
robot1,to,812,True,14,0.3957013071727012,24,1477,0.5289666652679443,229.37536209957491,29,False,0.4819803833961487,40.889603027608246,False,False,179.27956960974504,1120,-0.3528495542872442,179.63241916403229,88.13249393548817,0.046986281871795654,1120
robot1,to,813,True,14,0.3209189505288969,24,379,0.5072440505027771,228.22926945665128,58,False,0.4802269041538238,40.98305496154353,False,False,179.22676035941143,1120,-0.3528495542872442,179.57960991369868,-91.9635152075965,0.027017146348953303,1120
robot1,to,814,True,14,0.1795612454011407,17,1478,0.4872999489307403,230.65528752822863,31,False,0.4687607884407043,40.88104696711525,False,False,179.04952094720556,1119,0.0925965303322055,178.95692441687333,87.84579667441251,0.01853916049003601,1119
robot1,to,1754,True,14,0.4537633974684006,16,1479,0.5198314189910889,229.42362289006616,30,False,0.4921415150165558,41.97647701948881,False,False,177.9602440068564,1121,-0.842330652010907,178.80257465886734,87.58629404436607,0.02768990397453308,1120
robot1,to,1755,True,14,0.4616909382494611,16,1478,0.5053673386573792,229.8817766273707,31,False,0.4647547006607055,41.91421903669834,False,False,178.18383446847903,1120,-0.3528495542872442,178.53668402276628,87.84579667441251,0.04061263799667364,1119
robot1,to,1847,True,7,3.598617497683401,2,235,0.4035084545612335,240.08428551861743,26,False,0.3810234665870666,43.077100010123104,False,False,102.41823958786816,1979,178.74558894203042,76.32734935416227,6.761958800207275,0.022484987974166926,1979
robot1,to,1848,True,6,4.159241995815277,78,215,0.4073198437690735,228.10688222620016,47,False,0.3600323796272278,42.37317503429949,False,False,100.89414034122534,1980,178.11314161545354,77.2190012742282,112.23535543757517,0.0472874641418457,1979
robot1,to,1849,True,5,4.432526065017618,221,386,0.4326927363872528,267.1798463699973,34,False,0.3216494917869568,42.06438997061923,False,False,100.21797058473716,1980,178.11314161545354,77.89517103071638,-90.8325935436451,0.11104324460029602,1978
robot1,to,1850,True,3,4.751289321868591,160,383,0.4166296422481537,267.5511864228941,34,False,0.3280968368053436,42.547855991870165,False,False,99.63640277767136,1980,178.11314161545354,78.47673883778218,-92.09320761331384,0.08853280544281011,1979
