cohort,heading_bin_deg,count,fraction
all_valid,0-30,784,0.41111693759832196
all_valid,30-60,16,0.008390141583639224
all_valid,60-90,10,0.005243838489774515
all_valid,90-120,84,0.04404824331410592
all_valid,120-150,38,0.019926586261143155
all_valid,150-180,975,0.5112742527530152
rank1_success,0-30,784,0.4132841328413284
rank1_success,30-60,16,0.008434370057986295
rank1_success,60-90,6,0.0031628887717448603
rank1_success,90-120,84,0.04428044280442804
rank1_success,120-150,38,0.020031628887717447
rank1_success,150-180,969,0.510806536636795
rank1_failure,0-30,0,0.0
rank1_failure,30-60,0,0.0
rank1_failure,60-90,4,0.4
rank1_failure,90-120,0,0.0
rank1_failure,120-150,0,0.0
rank1_failure,150-180,6,0.6
