query_robot,database_robot,heading_bin_deg,count,fraction_of_valid_overlap_queries
robot1,robot2,0-30,784,0.41111693759832196
robot1,robot2,120-150,38,0.019926586261143155
robot1,robot2,150-180,975,0.5112742527530152
robot1,robot2,30-60,16,0.008390141583639224
robot1,robot2,60-90,10,0.005243838489774515
robot1,robot2,90-120,84,0.04404824331410592
robot1,robot3,0-30,573,0.31277292576419213
robot1,robot3,120-150,45,0.024563318777292575
robot1,robot3,150-180,1113,0.607532751091703
robot1,robot3,30-60,22,0.012008733624454149
robot1,robot3,60-90,21,0.01146288209606987
robot1,robot3,90-120,58,0.03165938864628821
robot1,robot4,0-30,774,0.4358108108108108
robot1,robot4,120-150,34,0.019144144144144143
robot1,robot4,150-180,844,0.4752252252252252
robot1,robot4,30-60,20,0.01126126126126126
robot1,robot4,60-90,77,0.04335585585585586
robot1,robot4,90-120,27,0.015202702702702704
robot2,robot1,0-30,802,0.39255996084189915
robot2,robot1,120-150,32,0.01566324033284386
robot2,robot1,150-180,1122,0.5491923641703378
robot2,robot1,30-60,21,0.010279001468428781
robot2,robot1,60-90,2,0.0009789525208027412
robot2,robot1,90-120,64,0.03132648066568772
robot2,robot3,0-30,1732,0.7901459854014599
robot2,robot3,120-150,5,0.002281021897810219
robot2,robot3,150-180,333,0.15191605839416059
robot2,robot3,30-60,47,0.02144160583941606
robot2,robot3,60-90,68,0.03102189781021898
robot2,robot3,90-120,7,0.0031934306569343066
robot2,robot4,0-30,1527,0.7481626653601176
robot2,robot4,120-150,9,0.004409603135717786
robot2,robot4,150-180,405,0.19843214110730034
robot2,robot4,30-60,60,0.02939735423811857
robot2,robot4,60-90,13,0.006369426751592357
robot2,robot4,90-120,27,0.013228809407153356
robot3,robot1,0-30,585,0.3469750889679715
robot3,robot1,120-150,28,0.0166073546856465
robot3,robot1,150-180,1030,0.6109134045077106
robot3,robot1,30-60,21,0.012455516014234875
robot3,robot1,60-90,12,0.0071174377224199285
robot3,robot1,90-120,10,0.005931198102016607
robot3,robot2,0-30,1573,0.8371474188398084
robot3,robot2,120-150,18,0.009579563597658328
robot3,robot2,150-180,193,0.1027142096860032
robot3,robot2,30-60,46,0.024481106971793506
robot3,robot2,60-90,42,0.022352315061202766
robot3,robot2,90-120,7,0.0037253858435337944
robot3,robot4,0-30,2586,0.686487921422883
robot3,robot4,120-150,50,0.013273161667109106
robot3,robot4,150-180,933,0.24767719670825591
robot3,robot4,30-60,106,0.028139102734271303
robot3,robot4,60-90,35,0.009291213166976373
robot3,robot4,90-120,57,0.01513140430050438
robot4,robot1,0-30,550,0.3840782122905028
robot4,robot1,120-150,14,0.009776536312849162
robot4,robot1,150-180,717,0.5006983240223464
robot4,robot1,30-60,27,0.018854748603351956
robot4,robot1,60-90,96,0.0670391061452514
robot4,robot1,90-120,28,0.019553072625698324
robot4,robot2,0-30,1235,0.7273262661955241
robot4,robot2,120-150,21,0.012367491166077738
robot4,robot2,150-180,293,0.17255594817432274
robot4,robot2,30-60,95,0.05594817432273263
robot4,robot2,60-90,16,0.009422850412249705
robot4,robot2,90-120,38,0.02237926972909305
robot4,robot3,0-30,2294,0.6502267573696145
robot4,robot3,120-150,50,0.01417233560090703
robot4,robot3,150-180,941,0.26672335600907027
robot4,robot3,30-60,76,0.021541950113378686
robot4,robot3,60-90,68,0.01927437641723356
robot4,robot3,90-120,99,0.02806122448979592
