query_robot,database_robot,query_keyframe_count,database_keyframe_count,valid_overlap_queries,no_overlap_queries,overlap_fraction,positives_per_valid_query_median,positives_per_valid_query_p95
robot1,robot2,2000,2230,1907,93,0.9535,18.0,226.0
robot1,robot3,2000,4180,1832,168,0.916,15.0,147.0
robot1,robot4,2000,5544,1776,224,0.888,12.0,77.0
robot2,robot1,2230,2000,2043,187,0.9161434977578475,15.0,195.0
robot2,robot3,2230,4180,2192,38,0.9829596412556054,17.0,147.0
robot2,robot4,2230,5544,2041,189,0.9152466367713005,13.0,77.0
robot3,robot1,4180,2000,1686,2494,0.40334928229665074,14.0,195.0
robot3,robot2,4180,2230,1879,2301,0.4495215311004785,19.0,226.0
robot3,robot4,4180,5544,3767,413,0.9011961722488038,16.0,57.0
robot4,robot1,5544,2000,1432,4112,0.2582972582972583,14.0,194.0
robot4,robot2,5544,2230,1698,3846,0.30627705627705626,15.0,112.14999999999986
robot4,robot3,5544,4180,3528,2016,0.6363636363636364,18.0,43.0
