query_robot,database_robot,query_keyframe_count,database_keyframe_count,valid_overlap_queries,no_overlap_queries,overlap_fraction,positives_per_valid_query_median,positives_per_valid_query_p95,heading_nearest_positive_count,heading_fraction_above_90_deg,heading_fraction_above_150_deg
robot1,robot2,2000,2230,1907,93,0.9535,18.0,226.0,1907,0.5752490823282643,0.5112742527530152
robot1,robot3,2000,4180,1832,168,0.916,15.0,147.0,1832,0.6637554585152838,0.607532751091703
robot1,robot4,2000,5544,1776,224,0.888,12.0,77.0,1776,0.5095720720720721,0.4752252252252252
robot2,robot1,2230,2000,2043,187,0.9161434977578475,15.0,195.0,2043,0.5961820851688693,0.5491923641703378
robot2,robot3,2230,4180,2192,38,0.9829596412556054,17.0,147.0,2192,0.1573905109489051,0.15191605839416059
robot2,robot4,2230,5544,2041,189,0.9152466367713005,13.0,77.0,2041,0.21607055365017147,0.19843214110730034
robot3,robot1,4180,2000,1686,2494,0.40334928229665074,14.0,195.0,1686,0.6334519572953736,0.6109134045077106
robot3,robot2,4180,2230,1879,2301,0.4495215311004785,19.0,226.0,1879,0.11601915912719532,0.1027142096860032
robot3,robot4,4180,5544,3767,413,0.9011961722488038,16.0,57.0,3767,0.27608176267586937,0.24767719670825591
robot4,robot1,5544,2000,1432,4112,0.2582972582972583,14.0,194.0,1432,0.5300279329608939,0.5006983240223464
robot4,robot2,5544,2230,1698,3846,0.30627705627705626,15.0,112.14999999999986,1698,0.20730270906949352,0.17255594817432274
robot4,robot3,5544,4180,3528,2016,0.6363636363636364,18.0,43.0,3528,0.3089569160997732,0.26672335600907027
