query_id,SC_first_positive_rank,SC_margin12,SC_rank1_best_shift,SC_viewpoint_proxy_deg,GT_heading_difference_deg_analysis_only,candidate_available,candidate_generation_failure,single_visual_top_candidate,single_visual_margin,crossmax_visual_top_candidate,crossmax_visual_margin,trigger_Single_RGB_SC-confidence,override_Single_RGB_SC-confidence,rescue_Single_RGB_SC-confidence,trigger_Single_RGB_SC-confidence_visual-confidence,override_Single_RGB_SC-confidence_visual-confidence,rescue_Single_RGB_SC-confidence_visual-confidence,trigger_Single_RGB_SC-confidence_viewpoint-proxy,override_Single_RGB_SC-confidence_viewpoint-proxy,rescue_Single_RGB_SC-confidence_viewpoint-proxy,trigger_Single_RGB_joint-confidence_viewpoint,override_Single_RGB_joint-confidence_viewpoint,rescue_Single_RGB_joint-confidence_viewpoint,trigger_Cross-Max_SC-confidence,override_Cross-Max_SC-confidence,rescue_Cross-Max_SC-confidence,trigger_Cross-Max_SC-confidence_visual-confidence,override_Cross-Max_SC-confidence_visual-confidence,rescue_Cross-Max_SC-confidence_visual-confidence,trigger_Cross-Max_SC-confidence_viewpoint-proxy,override_Cross-Max_SC-confidence_viewpoint-proxy,rescue_Cross-Max_SC-confidence_viewpoint-proxy,trigger_Cross-Max_joint-confidence_viewpoint,override_Cross-Max_joint-confidence_viewpoint,rescue_Cross-Max_joint-confidence_viewpoint
305,4,0.007310688495635986,59,6.0,79.53572830729397,True,False,1088,0.0011657476425170898,1977,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1241,3,0.003772735595703125,3,18.0,171.73033791062426,True,False,3056,0.00021213293075561523,3056,0.01463252305984497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1242,15,0.0003955364227294922,3,18.0,174.67687071371734,True,False,3056,0.0012233853340148926,3056,0.0,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False,True,True,False,True,False,False
1243,2,0.021605491638183594,32,168.0,174.67880448160201,True,False,2976,0.0020284652709960938,3056,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1244,2,0.001093745231628418,32,168.0,176.0045720707153,True,False,2976,0.0051337480545043945,3056,0.0,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
1276,5,0.008267223834991455,28,168.0,174.83528689077608,True,False,3043,0.010686337947845459,3029,0.008121252059936523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1277,9,0.0016764402389526367,28,168.0,176.3227744442737,True,False,3043,0.00967872142791748,3029,0.006456613540649414,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1279,7,0.0029677748680114746,28,168.0,179.1445510003178,True,False,2949,0.01050865650177002,3043,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1280,11,0.0004895925521850586,28,168.0,179.02813812846614,True,False,2949,0.014889001846313477,2947,0.021111369132995605,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False
1847,21,0.009382754564285278,11,66.0,74.24498435871462,False,True,3890,0.03878509998321533,3890,0.03878509998321533,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1848,125,0.006991922855377197,23,138.0,75.76908360535744,False,True,3890,0.01207590103149414,3890,0.02241384983062744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1849,467,0.0014477074146270752,25,150.0,76.44525336184562,False,True,2834,0.03204691410064697,2834,0.013124287128448486,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
