visual_method,alpha_SC,control,visual_invocation_count,visual_invocation_rate_all_queries,visual_invocation_rate_valid_queries,overrides,rescues,regressions,net_corrections,R@1,R@5,candidate_conditioned_R@1,candidate_conditioned_R@5
Single RGB,0.5,global fusion,2000,1.0,1.0,983,1,7,-6,0.9901800327332242,0.9967266775777414,0.9918032786885246,0.9983606557377049
Single RGB,0.7,global fusion,2000,1.0,1.0,528,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Single RGB,0.9,global fusion,2000,1.0,1.0,163,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Single RGB,0.95,global fusion,2000,1.0,1.0,84,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Single RGB,0.98,global fusion,2000,1.0,1.0,34,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Cross-Max,0.5,global fusion,2000,1.0,1.0,730,0,41,-41,0.9710856519367158,0.9950900163666121,0.9726775956284153,0.9967213114754099
Cross-Max,0.7,global fusion,2000,1.0,1.0,350,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Cross-Max,0.9,global fusion,2000,1.0,1.0,99,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Cross-Max,0.95,global fusion,2000,1.0,1.0,57,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
Cross-Max,0.98,global fusion,2000,1.0,1.0,22,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732
