policy_family,visual_method,policy_id,sc_margin_quantile,sc_margin_threshold,visual_margin_quantile,visual_margin_threshold,delta_sc,viewpoint_proxy_max_deg,proxy_enabled,visual_invocation_count,visual_invocation_rate_all_queries,visual_invocation_rate_valid_queries,overrides,rescues,regressions,net_corrections,R@1,R@5,candidate_conditioned_R@1,candidate_conditioned_R@5,average_added_compute_ms,model_a_serial_latency_ms,model_b_parallel_latency_ms,per_trigger_extra_ms_temporal_cached,per_trigger_extra_ms_lazy
SC-only,none,P0_SC_only,,,,,,,True,0,0.0,0.0,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.0,155.88489530072547,155.88489530072547,0.0,0.0
SC-confidence,Single RGB,P1_Single RGB_scq0.01,0.01,0.0001180130202556029,,,,,True,20,0.01,0.00872885979268958,17,0,1,-1,0.9929078014184397,0.9961811238406983,0.994535519125683,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
SC-confidence+viewpoint-proxy,Single RGB,P3_Single RGB_scq0.01_v30,0.01,0.0001180130202556029,,,,30.0,True,13,0.0065,0.006001091107474086,10,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
SC-confidence+viewpoint-proxy,Single RGB,P3_Single RGB_scq0.01_v60,0.01,0.0001180130202556029,,,,60.0,True,13,0.0065,0.006001091107474086,10,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
SC-confidence+viewpoint-proxy,Single RGB,P3_Single RGB_scq0.01_v90,0.01,0.0001180130202556029,,,,90.0,True,13,0.0065,0.006001091107474086,10,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
SC-confidence+viewpoint-proxy,Single RGB,P3_Single RGB_scq0.01_v120,0.01,0.0001180130202556029,,,,120.0,True,13,0.0065,0.006001091107474086,10,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
SC-confidence+viewpoint-proxy,Single RGB,P3_Single RGB_scq0.01_v180,0.01,0.0001180130202556029,,,,180.0,True,20,0.01,0.00872885979268958,17,0,1,-1,0.9929078014184397,0.9961811238406983,0.994535519125683,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
SC+visual-confidence,Single RGB,P2_Single RGB_scq0.01_vq0.50_d0.02,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,,True,20,0.01,0.00872885979268958,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.02_v30,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,30.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.02_v60,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,60.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.02_v90,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,90.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.02_v120,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,120.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.02_v180,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.02,180.0,True,20,0.01,0.00872885979268958,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
SC+visual-confidence,Single RGB,P2_Single RGB_scq0.01_vq0.50_d0.05,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,,True,20,0.01,0.00872885979268958,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.05_v30,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,30.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.05_v60,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,60.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.05_v90,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,90.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.05_v120,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,120.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.05_v180,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.05,180.0,True,20,0.01,0.00872885979268958,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
SC+visual-confidence,Single RGB,P2_Single RGB_scq0.01_vq0.50_d0.10,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,,True,20,0.01,0.00872885979268958,1,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.10_v30,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,30.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.10_v60,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,60.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.10_v90,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,90.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.10_v120,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,120.0,True,13,0.0065,0.006001091107474086,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.22626904037929488,156.11116434110477,155.8990522355889,34.8106215968146,34.8106215968146
joint-conservative,Single RGB,P4_Single RGB_scq0.01_vq0.50_d0.10_v180,0.01,0.0001180130202556029,0.5,0.006221771240234375,0.1,180.0,True,20,0.01,0.00872885979268958,1,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.348106215968146,156.23300151669363,155.8990522355889,34.8106215968146,34.8106215968146
