visual_method,ablation,proxy_enabled,sc_margin_quantile,visual_margin_quantile,delta_sc,viewpoint_proxy_max_deg,visual_invocation_count,visual_invocation_rate_all_queries,visual_invocation_rate_valid_queries,overrides,rescues,regressions,net_corrections,R@1,R@5,candidate_conditioned_R@1,candidate_conditioned_R@5,average_added_compute_ms,model_a_serial_latency_ms,model_b_parallel_latency_ms
Single RGB,SC-only,True,,,,,0,0.0,0.0,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.0,155.88489530072547,155.88489530072547
Single RGB,SC-confidence,True,0.1,,,,200,0.1,0.0845608292416803,191,2,28,-26,0.9792689579923622,0.9967266775777414,0.9808743169398907,0.9983606557377049,3.48106215968146,159.36595746040695,155.8990522355889
Single RGB,SC-confidence+visual-confidence,True,0.1,0.8,0.05,,200,0.1,0.0845608292416803,7,0,1,-1,0.9929078014184397,0.9961811238406983,0.994535519125683,0.9978142076502732,3.48106215968146,159.36595746040695,155.8990522355889
Single RGB,SC-confidence+viewpoint-proxy,True,0.1,,,90.0,87,0.0435,0.0436442989634479,81,0,1,-1,0.9929078014184397,0.9961811238406983,0.994535519125683,0.9978142076502732,1.514262039461435,157.39915734018692,155.8990522355889
Single RGB,joint-confidence+viewpoint,True,0.1,0.8,0.05,90.0,87,0.0435,0.0436442989634479,3,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,1.514262039461435,157.39915734018692,155.8990522355889
Cross-Max,SC-only,True,,,,,0,0.0,0.0,0,0,0,0,0.9934533551554828,0.9961811238406983,0.9950819672131147,0.9978142076502732,0.0,155.88489530072547,155.88489530072547
Cross-Max,SC-confidence,True,0.1,,,,200,0.1,0.0845608292416803,175,1,38,-37,0.9732678668848882,0.9967266775777414,0.9748633879781421,0.9983606557377049,0.0064442889590282,155.8913395896845,155.94933819031576
Cross-Max,SC-confidence+visual-confidence,True,0.1,0.8,0.05,,200,0.1,0.0845608292416803,12,1,4,-3,0.9918166939443536,0.9967266775777414,0.9934426229508196,0.9983606557377049,0.0064442889590282,155.8913395896845,155.94933819031576
Cross-Max,SC-confidence+viewpoint-proxy,True,0.1,,,90.0,87,0.0435,0.0436442989634479,73,0,2,-2,0.9923622476813966,0.9961811238406983,0.9939890710382514,0.9978142076502732,0.0028032656971772665,155.88769856642264,155.94933819031576
Cross-Max,joint-confidence+viewpoint,True,0.1,0.8,0.05,90.0,87,0.0435,0.0436442989634479,6,0,1,-1,0.9929078014184397,0.9961811238406983,0.994535519125683,0.9978142076502732,0.0028032656971772665,155.88769856642264,155.94933819031576
