direction,M,query_id,nearest_positive_ringkey_rank,exhaustive_sc_first_positive_rank,nearest_positive_distance_m,heading_difference_deg
r1_r3,10,220,274,1,3.002051286478195,1.5821965580326776
r1_r3,10,221,253,1,2.953630040291073,2.4863548128297737
r1_r3,10,222,19,1,2.926801433229053,1.731140735513435
r1_r3,10,223,46,1,2.8990338838445195,2.243443568953438
r1_r3,10,224,156,1,2.893468394407943,1.6130535018681371
r1_r3,10,225,359,1,2.8813850075286376,1.2523400286754338
r1_r3,10,226,363,1,2.856078541395691,1.464714172823392
r1_r3,10,227,153,1,2.8406619564007465,0.7679531197718177
r1_r3,10,229,45,1,2.8324394533957826,0.1475328419486459
r1_r3,10,230,60,1,2.844954192309277,1.2469542663960738
r1_r3,10,300,266,1,1.9692066358748979,46.94099583196618
r1_r3,10,302,228,1,2.755822767974919,65.41240256585621
r1_r3,10,304,423,1,3.8524221114130603,76.6682617887962
r1_r3,10,305,488,4,4.654265855304922,79.53572830729397
r1_r3,10,324,356,1,3.8135483764077196,113.1376018336914
r1_r3,10,327,12,1,2.4274338938413034,112.6022492100318
r1_r3,10,328,23,1,2.439664785575348,112.61350068950316
r1_r3,10,339,11,1,2.438897707223942,112.75784755152927
r1_r3,10,340,11,1,2.440349647150465,112.76699403009451
r1_r3,10,342,20,1,2.441933999721681,112.79480077877014
r1_r3,10,346,25,1,2.4427546457921547,112.84042174245366
r1_r3,10,348,24,1,2.444270559981408,112.86950445655248
r1_r3,10,349,16,1,2.4416495348124694,112.88127497662612
r1_r3,10,351,13,1,2.444357994981237,112.90939195194994
r1_r3,10,352,22,1,2.4442876280497963,112.92099157892295
r1_r3,10,355,25,1,2.4410155582429094,112.95490226270772
r1_r3,10,357,14,1,2.439923939070093,112.97420713694214
r1_r3,10,359,13,1,2.442002840872778,113.00651989017922
r1_r3,10,360,14,1,2.4419116276319026,113.02175705862328
r1_r3,10,362,23,1,2.4417779059838067,113.04000902259645
r1_r3,10,366,11,1,2.442923570118613,113.09770029895054
r1_r3,10,367,15,1,2.443865271784379,113.10748128215954
r1_r3,10,369,22,1,2.417463640463575,113.06803417045546
r1_r3,10,403,86,1,1.3409197436850575,0.7938808529715118
r1_r3,10,431,112,1,1.7275346712792703,7.606700473946745
r1_r3,10,817,570,1,0.6462390729245904,179.91586288688188
r1_r3,10,818,555,1,0.634822792571859,178.97626241668775
r1_r3,10,984,163,1,1.8512047962190699,156.6501032117285
r1_r3,10,985,84,1,1.8794013707620982,159.56820272207852
r1_r3,10,1230,89,1,2.291157347326159,179.65979902203497
r1_r3,10,1232,22,1,2.3889947896247596,174.5757320401542
r1_r3,10,1233,98,1,2.4439238198287048,172.1821733984906
r1_r3,10,1234,53,1,2.506421386739156,171.26061947009504
r1_r3,10,1235,108,1,2.579965060352784,168.02730023134
r1_r3,10,1236,265,1,2.597202807462769,168.03025655901865
r1_r3,10,1237,121,1,2.6354401876643756,167.9251095477199
r1_r3,10,1238,207,1,2.7031172958067344,167.86000778331413
r1_r3,10,1239,296,1,2.7289760547549733,167.82367531653892
r1_r3,10,1240,24,1,2.7416464785567425,169.4524087902522
r1_r3,10,1241,169,3,2.7803593766895487,171.73033791062426
r1_r3,10,1242,54,15,2.8383442495380384,174.67687071371734
r1_r3,10,1243,129,2,2.860265615109609,174.67880448160201
r1_r3,10,1245,11,1,2.842659745494294,178.89811982020234
r1_r3,10,1246,80,1,2.8489199845915953,179.1860060716729
r1_r3,10,1247,157,1,2.812426296583202,178.69904853329479
r1_r3,10,1257,37,1,2.22224725265608,178.72875847008567
r1_r3,10,1258,68,1,2.271794207880128,179.9986704887762
r1_r3,10,1265,24,1,1.9981850646081936,174.648102690016
r1_r3,10,1266,12,1,1.9344064205497995,173.73883567822685
r1_r3,10,1275,37,1,1.4297394377475978,174.7601082047395
r1_r3,10,1276,83,5,1.3804524833684297,174.83528689077608
r1_r3,10,1277,166,9,1.3637843136748475,176.3227744442737
r1_r3,10,1278,158,1,1.3089263458539078,177.74297728376737
r1_r3,10,1280,169,11,1.314526290407783,179.02813812846614
