query_keyframe_id,candidate_keyframe_id,translation_difference_m,rotation_difference_rad,status
5,92,6.289883176694572e-06,4.163336342344337e-17,False
8,119,6.289883176694572e-06,2.7755575615628914e-17,False
9,87,6.289883176694572e-06,1.3877787807814457e-17,False
11,119,6.289883176701511e-06,5.551115123125783e-17,False
12,58,6.289883176698041e-06,2.7755575615628914e-17,False
14,89,6.289883176691102e-06,2.7755575615628914e-17,False
17,117,6.2898831767084495e-06,2.7755575615628914e-17,False
18,87,6.289883176687633e-06,5.551115123125783e-17,False
20,117,6.289883176691102e-06,1.3877787807814457e-17,False
23,89,6.289883176687633e-06,4.163336342344337e-17,False
